(('2020-08-25', '1'), 0.0948269292422604)
(('2020-07-04', '1'), 0.10911516558507972)
(('2020-12-01', '0'), 0.037548905857131165)
(('2020-12-25', '1'), 0.10193426736953408)
(('2020-12-24', '0'), 0.04030355216387429)
(('2020-12-05', '0'), 0.05599339199049258)
(('2020-04-07', '0'), 0.058207256880037604)
(('2020-03-27', '0'), 0.05113949247229995)
(('2020-04-20', '0'), 0.049282911747990654)
(('2020-09-03', '0'), 0.055667160718456454)
(('2020-09-16', '1'), 0.0643137357282094)
(('2021-01-07', '1'), 0.020357651304297553)
(('2020-12-02', '1'), 0.10221685066583282)
(('2020-04-02', '1'), 0.03773184442510747)
(('2020-05-08', '0'), 0.06537344566708968)
(('2020-07-24', '1'), 0.07512274833143054)
(('2020-09-17', '1'), 0.018483339902031357)
(('2020-06-15', '1'), 0.05440816776103782)
(('2020-04-14', '1'), 0.06850203301961989)
(('2020-07-05', '1'), 0.06733435008937821)
(('2021-01-05', '1'), 0.06382093710807608)
(('2020-11-04', '1'), 0.05804744245897903)
(('2020-10-26', '0'), 0.04540875143665213)
(('2020-10-27', '1'), 0.007362258009553802)
(('2020-07-17', '1'), 0.029392995724613867)
(('2020-12-28', '1'), 0.025941711802677635)
(('2020-11-17', '0'), 0.06790580933331869)
(('2020-11-16', '1'), 0.07631122016671664)
(('2020-06-23', '0'), 0.04110672316536286)
(('2020-08-16', '1'), 0.0844561986228653)
(('2020-08-20', '1'), 0.053957632827367916)
(('2020-07-30', '0'), 0.048845866000117436)
(('2021-01-13', '1'), 0.03800329036928546)
(('2020-12-19', '1'), 0.07732461970623496)
(('2020-05-08', '1'), 0.08502488991535381)
(('2020-05-03', '0'), 0.07529994402436743)
(('2020-04-30', '1'), 0.07690349741896135)
(('2020-08-04', '1'), 0.07848617123617124)
(('2020-06-20', '0'), 0.05083147020392461)
(('2020-10-18', '0'), 0.07188957881135238)
(('2020-09-27', '0'), 0.054970884099411726)
(('2020-09-21', '0'), 0.06053827154572717)
(('2020-07-19', '0'), 0.05249008982603102)
(('2020-10-29', '0'), 0.06033026195196318)
(('2020-11-03', '0'), 0.08372309474330894)
(('2020-12-28', '0'), 0.042423763293795165)
(('2020-11-17', '1'), 0.07965853336865931)
(('2020-12-16', '1'), 0.06841217778199483)
(('2020-06-12', '1'), 0.07470629769737636)
(('2020-04-16', '0'), 0.05439878212807545)
(('2020-05-14', '0'), 0.06847538867921196)
(('2020-04-27', '1'), 0.136445180976431)
(('2020-08-01', '1'), 0.013891998445569863)
(('2020-07-09', '1'), 0.06712969917123104)
(('2020-07-20', '0'), 0.055610076767321444)
(('2020-11-24', '1'), 0.07869929835823741)
(('2020-12-21', '0'), 0.06320297012728332)
(('2020-06-24', '0'), 0.024650410463465496)
(('2020-05-16', '1'), 0.023242939289626046)
(('2020-05-04', '1'), 0.05873264585459706)
(('2020-06-08', '0'), 0.07644696560524297)
(('2020-08-01', '0'), 0.053636668019480555)
(('2020-09-12', '0'), 0.0529942705909503)
(('2020-08-18', '0'), 0.042528249036423015)
(('2020-08-22', '0'), 0.07855495646615619)
(('2020-08-24', '0'), 0.03608843432810618)
(('2020-08-21', '0'), 0.07675181914381911)
(('2020-08-09', '0'), 0.054767495422974745)
(('2021-01-06', '0'), 0.048959795778851414)
(('2020-07-21', '0'), 0.061136492868012926)
(('2020-07-22', '0'), 0.06470320220765655)
(('2020-07-18', '0'), 0.04479957577752271)
(('2020-07-03', '0'), 0.07500492153933087)
(('2020-09-30', '0'), 0.05523553762872572)
(('2020-10-05', '0'), 0.029384022402948032)
(('2020-11-08', '0'), 0.06684643189547677)
(('2020-12-29', '1'), 0.01667153204143414)
(('2020-04-05', '1'), 0.055642421045987565)
(('2020-03-25', '1'), 0.054259897422155694)
(('2020-11-11', '0'), 0.055551019963291606)
(('2020-05-28', '0'), 0.07076437191657925)
(('2020-05-13', '1'), -0.04333768007948337)
(('2020-05-03', '1'), 0.041752607924482925)
(('2020-04-19', '1'), 0.04413301525658396)
(('2020-09-05', '0'), 0.05581441710297782)
(('2020-08-18', '1'), 0.08254730696992606)
(('2020-08-29', '0'), 0.06381259987132187)
(('2020-08-30', '1'), -0.06205447790588098)
(('2020-03-26', '1'), 0.08409368626681472)
(('2021-01-04', '0'), 0.03218620152150898)
(('2021-01-09', '0'), 0.05963825338055643)
(('2020-10-25', '1'), 0.042569073821270016)
(('2020-10-12', '0'), 0.04811449455209469)
(('2020-11-05', '1'), 0.0774060287173866)
(('2020-11-09', '1'), 0.0706888239479881)
(('2020-12-16', '0'), 0.050166496364509684)
(('2020-12-26', '1'), 0.029438830291989657)
(('2020-12-05', '1'), 0.09759274685978375)
(('2020-12-22', '0'), 0.05391527883442085)
(('2020-04-04', '1'), 0.018569601424085036)
(('2020-03-31', '1'), 0.040214205932111204)
(('2020-04-21', '0'), 0.06435023736872694)
(('2020-09-10', '0'), 0.03576090119071043)
(('2020-04-18', '0'), 0.06405264865955819)
(('2020-12-30', '0'), 0.05598795101646439)
(('2020-09-21', '1'), 0.0609832230989273)
(('2020-12-07', '0'), 0.054645456252017124)
(('2020-12-13', '1'), 0.0944730818913238)
(('2020-11-20', '1'), 0.06346341167628365)
(('2020-04-13', '1'), 0.12024280900873976)
(('2020-03-31', '0'), 0.06290370324534653)
(('2020-04-08', '0'), 0.06218608991917444)
(('2020-06-03', '0'), 0.037469744387330195)
